Costa Rica,United States,588
United States,Netherlands,660
The Bahamas,United States,955
El Salvador,United States,561
Mexico,United States,7140
United States,Costa Rica,608
Colombia,United States,873
United States,Jamaica,712
Panama,United States,510
United States,The Bahamas,986
United States,Hong Kong,414
United States,China,920
United States,Dominican Republic,1420
United States,United States,370002
Germany,United States,1468
United States,South Korea,827
United States,El Salvador,508
United States,Panama,465
United States,Honduras,407
Canada,United States,8399
Jamaica,United States,666
Dominican Republic,United States,1353
Japan,United States,1548
United States,France,952
Brazil,United States,853
United States,Germany,1336
United States,Mexico,7187
Netherlands,United States,776
China,United States,772
Spain,United States,420
United Kingdom,United States,2025
United States,Spain,442
United States,Italy,438
Cuba,United States,466
United States,Japan,1496
United States,Brazil,619
United States,United Kingdom,1970
United States,Canada,8483
South Korea,United States,1048
France,United States,935
United States,Cuba,478
United States,Colombia,867
