Costa Rica,United States,477
United States,Netherlands,570
The Bahamas,United States,903
El Salvador,United States,519
Mexico,United States,6200
United States,Costa Rica,501
Colombia,United States,785
United States,Jamaica,757
United States,The Bahamas,959
United States,China,505
United States,Dominican Republic,1150
United States,United States,348113
Germany,United States,1392
United States,South Korea,621
United States,El Salvador,464
Canada,United States,8271
Jamaica,United States,733
Dominican Republic,United States,1109
Japan,United States,1383
United States,France,776
United States,Germany,1406
Brazil,United States,995
United States,Mexico,6220
Netherlands,United States,586
China,United States,448
Spain,United States,422
Belgium,United States,408
United Kingdom,United States,1629
United States,Spain,442
United States,Italy,433
United States,Japan,1307
United States,Brazil,578
United States,United Kingdom,1503
United States,Canada,8305
South Korea,United States,683
France,United States,774
United States,Colombia,832
