Costa Rica,United States,522
United States,Netherlands,607
Honduras,United States,413
The Bahamas,United States,975
El Salvador,United States,539
Mexico,United States,5983
United States,Costa Rica,555
Colombia,United States,759
United States,Jamaica,610
United States,The Bahamas,1054
United States,China,610
United States,Dominican Republic,1123
United States,United States,347452
Germany,United States,1404
United States,South Korea,703
United States,El Salvador,465
Canada,United States,8034
Jamaica,United States,617
Dominican Republic,United States,1078
Japan,United States,1538
United States,France,840
Brazil,United States,979
United States,Germany,1413
United States,Mexico,5974
Netherlands,United States,640
China,United States,509
Guatemala,United States,413
United Kingdom,United States,1852
United States,Japan,1451
United States,Brazil,567
United States,United Kingdom,1713
United States,Canada,8097
South Korea,United States,819
France,United States,818
United States,Colombia,806
