Costa Rica,United States,494
Italy,United States,428
United States,Netherlands,622
The Bahamas,United States,811
El Salvador,United States,495
Mexico,United States,5953
United States,Costa Rica,526
Colombia,United States,707
United States,Jamaica,695
United States,The Bahamas,888
United States,China,605
United States,Dominican Republic,1100
United States,United States,352742
Germany,United States,1423
United States,South Korea,661
United States,El Salvador,443
Canada,United States,8514
Jamaica,United States,675
Dominican Republic,United States,1020
Japan,United States,1532
United States,France,914
United States,Germany,1480
Brazil,United States,969
United States,Mexico,6000
Netherlands,United States,635
China,United States,504
Spain,United States,445
Guatemala,United States,407
United Kingdom,United States,1726
United States,Spain,472
United States,Italy,447
United States,Japan,1412
United States,Brazil,575
United States,United Kingdom,1649
United States,Canada,8650
South Korea,United States,713
France,United States,876
United States,Colombia,777
