Costa Rica,United States,509
United States,Netherlands,618
Honduras,United States,423
The Bahamas,United States,865
El Salvador,United States,551
Mexico,United States,6372
United States,Costa Rica,549
Colombia,United States,798
United States,Jamaica,599
Panama,United States,418
United States,The Bahamas,897
United States,China,614
United States,Dominican Republic,1119
United States,United States,343132
Germany,United States,1423
United States,South Korea,687
United States,El Salvador,466
United States,Panama,419
Canada,United States,7860
Jamaica,United States,581
Dominican Republic,United States,1068
Japan,United States,1613
United States,France,848
United States,Germany,1402
Brazil,United States,912
United States,Mexico,6354
Netherlands,United States,640
China,United States,543
United Kingdom,United States,1802
United States,Japan,1476
United States,Brazil,510
United States,United Kingdom,1711
United States,Canada,7983
South Korea,United States,842
France,United States,837
United States,Colombia,811
